date,ABCB4,ABEV3,ANIM3,AGRO3,ALPA3,ALPA4,AMAR3,ARZZ3,AZUL4,B3SA3,BBAS3,BBDC3,BBSE3,BEEF3,BIDI3,BKBR3,BPAC3,BRAP3,BRDT3,BRFS3,BRSR3,BRKM3,BRML3,BTOW3,CAML3,CARD3,CCRO3,CEAB3,CIEL3,CMIG3,CNTO3,COGN3,CPFE3,CPLE3,CRFB3,CSMG3,CSAN3,CSNA3,CVCB3,CYRE3,DIRR3,DTEX3,ECOR3,EGIE3,ELET3,ELET3,EMBR3,ENAT3,ENBR3,ENGI3,EVEN3,EQTL3,ETER3,EZTC3,FESA4,FHER3,FLRY3,GFSA3,GGBR3,GNDI3,GOAU3,GOLL4,GRND3,GUAR3,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA3,ITUB3,JBSS3,JHSF3,KLBN11,LAME3,LEVE3,LIGT3,LINX3,LLIS3,LOGN3,LREN3,LWSA3,MDIA3,MEAL3,MGLU3,MILS3,MRFG3,MRVE3,MULT3,MYPK3,NEOE3,NTCO3,OIBR3,OMGE3,PSSA3,PCAR3,PFRM3,PETR3,POMO3,POSI3,PRIO3,PTBL3,QUAL3,RADL3,RAIL3,RAPT3,RLOG3,RENT3,SANB11,SAPR11,SBSP3,SHUL4,SMTO3,SQIA3,STBP3,SULA3,SUZB3,TASA3,TCSA3,TGMA3,TAEE3,TIMS3,TOTS3,TRIS3,TUPY3,UGPA3,UNIP6,USIM5,VALE3,VIVT3,VLID3,VULC3,VVAR3,WEGE3,WIZS3,YDUQ3
2016-05-01,6,10,0,22,41,22,3,0,0,0,21,2,11,3,0,0,0,14,0,4,0,0,9,6,0,0,5,0,3,13,0,0,27,0,0,4,5,15,1,0,0,25,20,0,2,2,12,0,4,0,9,11,7,16,29,0,0,7,33,0,12,9,4,0,0,5,4,0,0,3,7,6,0,5,0,0,43,0,0,8,7,0,4,2,1,14,0,0,12,0,0,0,1,0,6,0,0,10,9,1,1,16,4,9,0,28,12,5,0,0,4,0,0,0,0,0,0,0,2,0,0,0,4,4,17,3,0,55,2,0,17,0,0,1,0,0
2016-05-08,6,12,0,0,0,21,0,0,0,0,24,7,20,6,0,0,0,13,0,4,0,0,14,5,0,9,10,0,2,24,0,0,12,0,0,0,0,26,1,3,0,0,9,0,3,3,8,0,0,0,4,5,4,19,48,0,0,25,41,0,0,8,0,0,0,4,8,0,0,0,3,12,0,7,8,5,12,0,6,11,2,0,0,1,1,7,0,0,0,4,0,0,1,0,12,0,0,10,0,0,0,20,2,8,0,26,11,0,0,0,4,15,7,0,0,0,0,0,3,14,0,0,3,0,15,6,0,45,1,0,11,0,0,4,0,0
2016-05-15,6,5,0,20,0,93,0,5,0,0,20,2,19,0,0,0,0,0,0,5,0,0,8,18,0,29,10,0,2,12,0,0,0,0,0,3,13,14,0,0,0,0,23,0,5,5,2,0,0,0,9,5,6,11,27,5,0,15,40,0,32,3,7,0,0,3,12,5,0,0,3,11,1,2,0,0,11,0,6,8,4,0,0,3,0,7,4,2,0,4,0,0,1,0,11,0,6,11,8,5,1,5,3,8,0,0,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,3,0,54,2,0,11,5,0,2,0,0
2016-05-22,0,7,9,7,41,11,0,0,0,0,20,2,18,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,3,13,0,0,14,0,0,0,5,18,0,0,4,0,10,0,4,4,10,0,0,0,5,5,0,16,0,0,0,7,0,0,12,4,15,0,0,2,4,0,0,0,2,4,0,8,0,10,19,0,7,4,0,0,4,2,0,7,0,3,0,0,0,0,1,0,0,0,0,6,18,1,0,5,4,6,0,28,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,7,4,35,2,4,0,0,0,1,0,0
2016-05-29,0,7,8,28,0,0,6,3,0,0,20,5,12,6,0,0,0,13,0,2,0,0,0,5,0,6,5,0,5,12,0,0,13,0,0,0,11,10,0,0,4,0,39,0,1,1,5,0,2,0,4,0,2,4,35,0,0,13,11,0,11,4,3,0,0,3,4,5,0,6,2,2,3,5,0,0,24,0,13,12,0,0,8,4,1,0,1,0,6,0,0,0,2,0,0,3,0,8,8,1,0,0,4,3,0,0,0,2,3,0,0,5,0,0,0,0,0,0,1,15,0,0,3,0,21,9,0,26,1,0,11,0,0,2,0,0
2016-06-05,12,6,0,14,0,33,3,0,0,0,21,5,16,3,0,0,0,0,0,4,8,0,0,16,0,6,5,0,1,24,0,0,13,0,0,4,5,23,1,6,4,6,29,0,3,3,11,0,0,0,7,0,2,0,36,0,0,26,32,0,11,8,7,7,0,5,8,0,0,3,4,6,1,5,0,0,6,0,19,4,0,0,0,0,0,7,3,5,0,0,0,0,3,0,0,0,6,7,17,1,0,0,0,6,0,27,0,2,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,11,6,0,34,1,0,11,0,0,1,0,0
2016-06-12,0,3,17,7,0,11,0,0,0,0,21,0,16,6,0,0,0,0,0,2,0,0,0,8,0,3,8,0,0,19,0,0,13,0,0,0,7,13,0,0,4,12,15,0,3,3,8,0,2,0,9,0,5,12,15,11,0,10,22,0,0,3,0,7,0,9,4,0,0,10,4,4,0,3,0,5,55,0,13,4,4,0,4,0,0,0,1,0,0,0,0,0,3,0,0,0,0,6,0,0,3,0,2,12,0,27,29,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,5,10,4,65,1,4,6,0,0,1,0,0
2016-06-19,0,1,9,30,41,11,0,0,0,0,29,10,14,6,0,0,0,0,0,10,0,0,3,6,0,6,9,0,3,13,0,0,41,0,0,0,7,23,0,6,4,0,15,0,5,5,5,0,0,0,2,5,7,8,30,3,2,24,11,0,24,10,7,0,0,6,4,0,0,0,2,8,1,5,0,0,62,0,0,0,2,0,0,2,0,7,1,8,0,0,0,0,5,0,12,0,6,8,0,1,1,5,2,9,0,0,24,7,6,0,0,0,7,0,0,0,0,0,6,15,0,0,0,0,11,3,0,49,1,0,18,0,0,2,0,0
2016-06-26,6,8,0,44,41,11,0,0,0,0,22,5,16,12,0,0,0,0,0,2,0,0,0,6,0,15,12,0,1,32,0,0,0,0,0,0,0,21,1,6,0,0,25,0,3,3,10,0,2,0,5,5,7,8,37,3,0,10,22,0,12,9,11,0,0,3,26,0,0,3,0,4,2,13,0,5,18,0,13,0,4,0,0,0,0,14,1,0,0,4,0,0,3,0,6,0,0,5,0,0,0,11,2,6,0,0,6,2,6,0,0,0,7,0,0,0,0,0,2,31,0,0,0,0,0,10,0,39,2,4,6,0,0,2,0,0
2016-07-03,6,7,9,30,0,12,0,0,0,0,18,10,11,12,0,0,0,14,0,1,0,0,3,12,0,6,10,0,1,13,0,0,41,0,0,0,15,31,1,3,12,0,25,0,1,1,17,0,2,0,2,0,0,0,23,3,0,17,34,0,0,10,4,0,0,5,17,11,0,7,6,5,0,3,8,5,50,0,7,4,9,0,4,0,0,7,0,5,0,8,0,0,2,0,13,0,0,10,18,1,0,11,2,6,0,0,18,0,3,0,9,5,7,0,0,0,0,0,3,16,10,0,11,0,23,7,0,37,1,4,18,5,0,2,0,0
2016-07-10,6,5,9,22,0,11,0,3,0,0,23,3,22,3,0,0,0,0,0,5,0,0,9,6,0,6,7,0,2,32,0,0,0,0,0,0,5,34,0,6,4,13,31,0,3,3,10,0,4,14,0,0,5,29,30,3,0,17,45,0,24,8,11,15,0,8,17,5,0,3,0,4,1,8,8,0,38,0,7,0,0,0,4,3,1,0,6,0,0,4,0,0,3,0,0,0,6,11,0,4,1,11,2,9,0,0,0,0,6,0,0,5,7,0,0,22,0,0,2,31,0,0,4,0,6,17,0,45,1,0,6,0,0,3,0,0
2016-07-17,0,9,27,23,0,12,3,0,0,0,25,3,17,3,0,0,0,0,0,4,0,0,3,3,0,3,4,0,2,7,0,0,0,0,0,4,15,14,1,3,8,6,21,0,3,3,15,0,2,15,5,22,5,13,8,3,2,11,35,0,0,4,0,0,0,15,4,0,0,10,2,5,3,6,9,0,84,0,20,4,2,0,13,10,0,7,2,3,12,0,0,0,3,0,0,0,0,6,9,6,0,0,0,9,0,0,18,5,6,0,0,11,0,0,0,0,0,0,0,32,0,0,0,0,17,17,4,51,2,0,12,0,0,3,0,0
