,Stock,ML,MAPE,n_steps_in,n_steps_out,interval,samples_test
479,TGMA3,convLSTM2D,7.6,3,3,1d,15
480,TAEE3,LSTM,10.2,3,3,1d,15
481,TAEE3,BidirectionalLSTM,4.7,3,3,1d,15
482,TAEE3,convLSTM1D,9.0,3,3,1d,15
483,TAEE3,convLSTM2D,25.0,3,3,1d,15
484,TIMP3,LSTM,15.7,3,3,1d,15
485,TIMP3,BidirectionalLSTM,16.1,3,3,1d,15
486,TIMP3,convLSTM1D,23.6,3,3,1d,15
487,TIMP3,convLSTM2D,20.9,3,3,1d,15
488,TOTS3,LSTM,18.7,3,3,1d,15
489,TOTS3,BidirectionalLSTM,31.6,3,3,1d,15
490,TOTS3,convLSTM1D,19.2,3,3,1d,15
491,TOTS3,convLSTM2D,14.4,3,3,1d,15
492,TRIS3,LSTM,8.2,3,3,1d,15
493,TRIS3,BidirectionalLSTM,6.9,3,3,1d,15
494,TRIS3,convLSTM1D,5.3,3,3,1d,15
495,TRIS3,convLSTM2D,9.1,3,3,1d,15
496,TUPY3,LSTM,6.4,3,3,1d,15
497,TUPY3,BidirectionalLSTM,6.2,3,3,1d,15
498,TUPY3,convLSTM1D,10.5,3,3,1d,15
499,TUPY3,convLSTM2D,15.2,3,3,1d,15
500,UGPA3,LSTM,5.4,3,3,1d,15
501,UGPA3,BidirectionalLSTM,5.7,3,3,1d,15
502,UGPA3,convLSTM1D,6.8,3,3,1d,15
503,UGPA3,convLSTM2D,4.9,3,3,1d,15
504,UNIP6,LSTM,14.6,3,3,1d,15
505,UNIP6,BidirectionalLSTM,21.7,3,3,1d,15
506,UNIP6,convLSTM1D,19.8,3,3,1d,15
507,UNIP6,convLSTM2D,44.1,3,3,1d,15
508,USIM5,LSTM,12.2,3,3,1d,15
509,USIM5,BidirectionalLSTM,4.9,3,3,1d,15
510,USIM5,convLSTM1D,7.0,3,3,1d,15
511,USIM5,convLSTM2D,26.3,3,3,1d,15
512,VALE3,LSTM,76.2,3,3,1d,15
513,VALE3,BidirectionalLSTM,12.1,3,3,1d,15
514,VALE3,convLSTM1D,13.1,3,3,1d,15
515,VALE3,convLSTM2D,52.3,3,3,1d,15
516,VIVT3,LSTM,26.4,3,3,1d,15
517,VIVT3,BidirectionalLSTM,33.2,3,3,1d,15
518,VIVT3,convLSTM1D,25.9,3,3,1d,15
519,VIVT3,convLSTM2D,30.5,3,3,1d,15
520,VLID3,LSTM,56.2,3,3,1d,15
521,VLID3,BidirectionalLSTM,50.2,3,3,1d,15
522,VLID3,convLSTM1D,61.6,3,3,1d,15
523,VLID3,convLSTM2D,83.5,3,3,1d,15
524,VULC3,LSTM,4.3,3,3,1d,15
525,VULC3,BidirectionalLSTM,12.1,3,3,1d,15
526,VULC3,convLSTM1D,3.2,3,3,1d,15
527,VULC3,convLSTM2D,9.8,3,3,1d,15
528,VVAR3,LSTM,13.1,3,3,1d,15
529,VVAR3,BidirectionalLSTM,18.2,3,3,1d,15
530,VVAR3,convLSTM1D,6.7,3,3,1d,15
531,VVAR3,convLSTM2D,7.8,3,3,1d,15
532,WEGE3,LSTM,11.2,3,3,1d,15
533,WEGE3,BidirectionalLSTM,4.3,3,3,1d,15
534,WEGE3,convLSTM1D,6.5,3,3,1d,15
535,WEGE3,convLSTM2D,26.0,3,3,1d,15
536,WIZS3,LSTM,66.6,3,3,1d,15
537,WIZS3,BidirectionalLSTM,60.1,3,3,1d,15
538,WIZS3,convLSTM1D,24.7,3,3,1d,15
539,WIZS3,convLSTM2D,22.0,3,3,1d,15
540,YDUQ3,LSTM,13.7,3,3,1d,15
541,YDUQ3,BidirectionalLSTM,21.2,3,3,1d,15
542,YDUQ3,convLSTM1D,6.3,3,3,1d,15
543,YDUQ3,convLSTM2D,11.1,3,3,1d,15
