,Stock,ML,MAPE,n_steps_in,n_steps_out,interval,samples_test
120,CNTO3,LSTM,19.7,3,3,1d,15
121,CNTO3,BidirectionalLSTM,6.4,3,3,1d,15
122,CNTO3,convLSTM1D,11.1,3,3,1d,15
123,CNTO3,convLSTM2D,7.5,3,3,1d,15
124,COGN3,LSTM,133.4,3,3,1d,15
125,COGN3,BidirectionalLSTM,88.5,3,3,1d,15
126,COGN3,convLSTM1D,108.2,3,3,1d,15
127,COGN3,convLSTM2D,213.7,3,3,1d,15
128,CPFE3,LSTM,8.5,3,3,1d,15
129,CPFE3,BidirectionalLSTM,4.7,3,3,1d,15
130,CPFE3,convLSTM1D,5.8,3,3,1d,15
131,CPFE3,convLSTM2D,4.1,3,3,1d,15
132,CPLE3,LSTM,7.3,3,3,1d,15
133,CPLE3,BidirectionalLSTM,6.8,3,3,1d,15
134,CPLE3,convLSTM1D,6.2,3,3,1d,15
135,CPLE3,convLSTM2D,5.2,3,3,1d,15
136,CRFB3,LSTM,27.4,3,3,1d,15
137,CRFB3,BidirectionalLSTM,9.8,3,3,1d,15
138,CRFB3,convLSTM1D,12.4,3,3,1d,15
139,CRFB3,convLSTM2D,7.0,3,3,1d,15
140,CSMG3,LSTM,22.6,3,3,1d,15
141,CSMG3,BidirectionalLSTM,9.8,3,3,1d,15
142,CSMG3,convLSTM1D,6.6,3,3,1d,15
143,CSMG3,convLSTM2D,41.8,3,3,1d,15
144,CSAN3,LSTM,3.8,3,3,1d,15
145,CSAN3,BidirectionalLSTM,3.7,3,3,1d,15
146,CSAN3,convLSTM1D,3.3,3,3,1d,15
147,CSAN3,convLSTM2D,11.4,3,3,1d,15
148,CSNA3,LSTM,46.6,3,3,1d,15
149,CSNA3,BidirectionalLSTM,19.9,3,3,1d,15
150,CSNA3,convLSTM1D,23.7,3,3,1d,15
151,CSNA3,convLSTM2D,60.6,3,3,1d,15
152,CVCB3,LSTM,11.8,3,3,1d,15
153,CVCB3,BidirectionalLSTM,10.5,3,3,1d,15
154,CVCB3,convLSTM1D,6.9,3,3,1d,15
155,CVCB3,convLSTM2D,7.0,3,3,1d,15
156,CYRE3,LSTM,4.6,3,3,1d,15
157,CYRE3,BidirectionalLSTM,6.5,3,3,1d,15
158,CYRE3,convLSTM1D,3.9,3,3,1d,15
159,CYRE3,convLSTM2D,8.6,3,3,1d,15
160,DIRR3,LSTM,5.4,3,3,1d,15
161,DIRR3,BidirectionalLSTM,12.8,3,3,1d,15
162,DIRR3,convLSTM1D,16.7,3,3,1d,15
163,DIRR3,convLSTM2D,11.1,3,3,1d,15
164,DTEX3,LSTM,15.6,3,3,1d,15
165,DTEX3,BidirectionalLSTM,7.5,3,3,1d,15
166,DTEX3,convLSTM1D,4.2,3,3,1d,15
167,DTEX3,convLSTM2D,22.4,3,3,1d,15
168,ECOR3,LSTM,10.6,3,3,1d,15
169,ECOR3,BidirectionalLSTM,29.0,3,3,1d,15
170,ECOR3,convLSTM1D,6.4,3,3,1d,15
171,ECOR3,convLSTM2D,19.3,3,3,1d,15
172,EGIE3,LSTM,6.6,3,3,1d,15
173,EGIE3,BidirectionalLSTM,5.1,3,3,1d,15
174,EGIE3,convLSTM1D,5.2,3,3,1d,15
175,EGIE3,convLSTM2D,2.6,3,3,1d,15
176,ELET3,LSTM,17.8,3,3,1d,15
177,ELET3,BidirectionalLSTM,12.0,3,3,1d,15
178,ELET3,convLSTM1D,5.3,3,3,1d,15
179,ELET3,convLSTM2D,7.3,3,3,1d,15
180,ELET3,LSTM,17.8,3,3,1d,15
181,ELET3,BidirectionalLSTM,12.0,3,3,1d,15
182,ELET3,convLSTM1D,5.3,3,3,1d,15
183,ELET3,convLSTM2D,7.3,3,3,1d,15
184,EMBR3,LSTM,23.0,3,3,1d,15
185,EMBR3,BidirectionalLSTM,23.9,3,3,1d,15
186,EMBR3,convLSTM1D,12.5,3,3,1d,15
187,EMBR3,convLSTM2D,26.0,3,3,1d,15
188,ENAT3,LSTM,12.1,3,3,1d,15
189,ENAT3,BidirectionalLSTM,15.2,3,3,1d,15
190,ENAT3,convLSTM1D,4.7,3,3,1d,15
191,ENAT3,convLSTM2D,5.0,3,3,1d,15
192,ENBR3,LSTM,4.0,3,3,1d,15
193,ENBR3,BidirectionalLSTM,4.2,3,3,1d,15
194,ENBR3,convLSTM1D,4.1,3,3,1d,15
195,ENBR3,convLSTM2D,9.0,3,3,1d,15
196,ENGI3,LSTM,18.6,3,3,1d,15
197,ENGI3,BidirectionalLSTM,13.7,3,3,1d,15
198,ENGI3,convLSTM1D,13.6,3,3,1d,15
199,ENGI3,convLSTM2D,28.5,3,3,1d,15
200,EVEN3,LSTM,6.8,3,3,1d,15
201,EVEN3,BidirectionalLSTM,4.0,3,3,1d,15
202,EVEN3,convLSTM1D,13.1,3,3,1d,15
203,EVEN3,convLSTM2D,15.3,3,3,1d,15
204,EQTL3,LSTM,13.3,3,3,1d,15
205,EQTL3,BidirectionalLSTM,19.0,3,3,1d,15
206,EQTL3,convLSTM1D,12.7,3,3,1d,15
207,EQTL3,convLSTM2D,4.1,3,3,1d,15
208,ETER3,LSTM,37.9,3,3,1d,15
209,ETER3,BidirectionalLSTM,22.0,3,3,1d,15
210,ETER3,convLSTM1D,25.3,3,3,1d,15
211,ETER3,convLSTM2D,62.3,3,3,1d,15
212,EZTC3,LSTM,9.7,3,3,1d,15
213,EZTC3,BidirectionalLSTM,3.7,3,3,1d,15
214,EZTC3,convLSTM1D,4.5,3,3,1d,15
215,EZTC3,convLSTM2D,9.7,3,3,1d,15
216,FESA4,LSTM,8.1,3,3,1d,15
217,FESA4,BidirectionalLSTM,15.5,3,3,1d,15
218,FESA4,convLSTM1D,12.6,3,3,1d,15
219,FESA4,convLSTM2D,13.5,3,3,1d,15
220,FHER3,LSTM,14.4,3,3,1d,15
221,FHER3,BidirectionalLSTM,8.5,3,3,1d,15
222,FHER3,convLSTM1D,6.9,3,3,1d,15
223,FHER3,convLSTM2D,9.6,3,3,1d,15
224,FLRY3,LSTM,22.7,3,3,1d,15
225,FLRY3,BidirectionalLSTM,13.8,3,3,1d,15
226,FLRY3,convLSTM1D,11.7,3,3,1d,15
227,FLRY3,convLSTM2D,21.8,3,3,1d,15
228,GFSA3,LSTM,51.4,3,3,1d,15
229,GFSA3,BidirectionalLSTM,68.5,3,3,1d,15
230,GFSA3,convLSTM1D,87.3,3,3,1d,15
231,GFSA3,convLSTM2D,59.3,3,3,1d,15
232,GGBR3,LSTM,11.3,3,3,1d,15
233,GGBR3,BidirectionalLSTM,11.7,3,3,1d,15
234,GGBR3,convLSTM1D,11.3,3,3,1d,15
235,GGBR3,convLSTM2D,18.5,3,3,1d,15
236,GNDI3,LSTM,10.9,3,3,1d,15
237,GNDI3,BidirectionalLSTM,7.8,3,3,1d,15
238,GNDI3,convLSTM1D,9.4,3,3,1d,15
239,GNDI3,convLSTM2D,20.7,3,3,1d,15
240,GOAU3,LSTM,14.2,3,3,1d,15
241,GOAU3,BidirectionalLSTM,11.1,3,3,1d,15
242,GOAU3,convLSTM1D,7.4,3,3,1d,15
243,GOAU3,convLSTM2D,24.3,3,3,1d,15
244,GOLL4,LSTM,17.5,3,3,1d,15
245,GOLL4,BidirectionalLSTM,5.0,3,3,1d,15
246,GOLL4,convLSTM1D,4.5,3,3,1d,15
247,GOLL4,convLSTM2D,14.5,3,3,1d,15
248,GRND3,LSTM,8.5,3,3,1d,15
249,GRND3,BidirectionalLSTM,11.8,3,3,1d,15
