epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.12118852883577347,0.12118852883577347,0.43356698751449585,0.43356698751449585
1,0.04074561595916748,0.04074561595916748,0.4186609983444214,0.4186609983444214
2,0.034814540296792984,0.034814540296792984,0.41290390491485596,0.41290390491485596
3,0.02835591696202755,0.02835591696202755,0.4075973629951477,0.4075973629951477
4,0.02689761482179165,0.02689761482179165,0.3984125554561615,0.3984125554561615
5,0.025321325287222862,0.025321325287222862,0.3812744915485382,0.3812744915485382
6,0.025091879069805145,0.025091879069805145,0.37319961190223694,0.37319961190223694
7,0.02439086139202118,0.02439086139202118,0.3459911644458771,0.3459911644458771
8,0.023687317967414856,0.023687317967414856,0.3242482841014862,0.3242482841014862
9,0.024325868114829063,0.024325868114829063,0.2948684096336365,0.2948684096336365
10,0.0228120069950819,0.0228120069950819,0.27663150429725647,0.27663150429725647
11,0.02300475537776947,0.02300475537776947,0.24571236968040466,0.24571236968040466
12,0.02202576957643032,0.02202576957643032,0.2391347587108612,0.2391347587108612
13,0.0216521006077528,0.0216521006077528,0.2094012349843979,0.2094012349843979
14,0.022788438946008682,0.022788438946008682,0.1777724027633667,0.1777724027633667
15,0.022846650332212448,0.022846650332212448,0.14987826347351074,0.14987826347351074
16,0.021554265171289444,0.021554265171289444,0.15301525592803955,0.15301525592803955
17,0.021843085065484047,0.021843085065484047,0.13504740595817566,0.13504740595817566
18,0.021800599992275238,0.021800599992275238,0.14235150814056396,0.14235150814056396
19,0.020841103047132492,0.020841103047132492,0.1527220606803894,0.1527220606803894
20,0.020252356305718422,0.020252356305718422,0.13769333064556122,0.13769333064556122
21,0.021092111244797707,0.021092111244797707,0.1194535344839096,0.1194535344839096
22,0.020006632432341576,0.020006632432341576,0.11624091863632202,0.11624091863632202
23,0.019902396947145462,0.019902396947145462,0.1337430775165558,0.1337430775165558
24,0.021842656657099724,0.021842656657099724,0.11826948076486588,0.11826948076486588
25,0.021568449214100838,0.021568449214100838,0.13841943442821503,0.13841943442821503
26,0.019944805651903152,0.019944805651903152,0.12295582890510559,0.12295582890510559
27,0.019647913053631783,0.019647913053631783,0.12117695808410645,0.12117695808410645
28,0.01954427920281887,0.01954427920281887,0.12452471256256104,0.12452471256256104
29,0.01968766748905182,0.01968766748905182,0.11682052910327911,0.11682052910327911
30,0.019407549872994423,0.019407549872994423,0.12038576602935791,0.12038576602935791
31,0.020350497215986252,0.020350497215986252,0.12014510482549667,0.12014510482549667
32,0.019504422321915627,0.019504422321915627,0.11319021135568619,0.11319021135568619
33,0.019664006307721138,0.019664006307721138,0.1325523555278778,0.1325523555278778
34,0.01931704208254814,0.01931704208254814,0.1181495413184166,0.1181495413184166
35,0.019509680569171906,0.019509680569171906,0.1270235925912857,0.1270235925912857
36,0.01841786876320839,0.01841786876320839,0.12319770455360413,0.12319770455360413
37,0.01866557076573372,0.01866557076573372,0.12023025751113892,0.12023025751113892
38,0.018575910478830338,0.018575910478830338,0.1119358167052269,0.1119358167052269
39,0.020103711634874344,0.020103711634874344,0.12865802645683289,0.12865802645683289
40,0.018105333670973778,0.018105333670973778,0.12951712310314178,0.12951712310314178
41,0.018333343788981438,0.018333343788981438,0.11620486527681351,0.11620486527681351
42,0.018115656450390816,0.018115656450390816,0.11852660775184631,0.11852660775184631
43,0.018032658845186234,0.018032658845186234,0.1123928651213646,0.1123928651213646
44,0.01805853471159935,0.01805853471159935,0.12591727077960968,0.12591727077960968
45,0.019042814150452614,0.019042814150452614,0.09560086578130722,0.09560086578130722
46,0.019029123708605766,0.019029123708605766,0.1012682169675827,0.1012682169675827
47,0.01817888207733631,0.01817888207733631,0.12763869762420654,0.12763869762420654
48,0.017581116408109665,0.017581116408109665,0.1149100661277771,0.1149100661277771
49,0.017564641311764717,0.017564641311764717,0.11996539682149887,0.11996539682149887
50,0.01830504834651947,0.01830504834651947,0.0993131548166275,0.0993131548166275
51,0.018044812604784966,0.018044812604784966,0.09434964507818222,0.09434964507818222
52,0.017251748591661453,0.017251748591661453,0.1259402483701706,0.1259402483701706
53,0.01834239438176155,0.01834239438176155,0.11664135754108429,0.11664135754108429
54,0.017565367743372917,0.017565367743372917,0.11558406054973602,0.11558406054973602
55,0.01802079565823078,0.01802079565823078,0.11274375021457672,0.11274375021457672
56,0.01730269379913807,0.01730269379913807,0.10852079838514328,0.10852079838514328
57,0.017376212403178215,0.017376212403178215,0.11193597316741943,0.11193597316741943
58,0.017512645572423935,0.017512645572423935,0.11187300831079483,0.11187300831079483
59,0.01751885376870632,0.01751885376870632,0.10587674379348755,0.10587674379348755
60,0.017360873520374298,0.017360873520374298,0.12151507288217545,0.12151507288217545
61,0.017320789396762848,0.017320789396762848,0.11162165552377701,0.11162165552377701
62,0.017857179045677185,0.017857179045677185,0.11627181619405746,0.11627181619405746
63,0.01755584590137005,0.01755584590137005,0.10400380194187164,0.10400380194187164
64,0.017130928114056587,0.017130928114056587,0.11707237362861633,0.11707237362861633
65,0.0168770682066679,0.0168770682066679,0.1183866411447525,0.1183866411447525
66,0.01635146141052246,0.01635146141052246,0.114420585334301,0.114420585334301
67,0.016936907544732094,0.016936907544732094,0.11219069361686707,0.11219069361686707
68,0.01694580167531967,0.01694580167531967,0.10783668607473373,0.10783668607473373
69,0.016139935702085495,0.016139935702085495,0.10729241371154785,0.10729241371154785
70,0.01644374057650566,0.01644374057650566,0.1248798742890358,0.1248798742890358
71,0.016799768432974815,0.016799768432974815,0.1227613091468811,0.1227613091468811
72,0.016712937504053116,0.016712937504053116,0.11010284721851349,0.11010284721851349
73,0.01653403602540493,0.01653403602540493,0.11412336677312851,0.11412336677312851
74,0.015858158469200134,0.015858158469200134,0.10027526319026947,0.10027526319026947
75,0.016427112743258476,0.016427112743258476,0.11873611062765121,0.11873611062765121
76,0.016569102182984352,0.016569102182984352,0.10245884209871292,0.10245884209871292
