,Stock,ML,gain_pred,index_maximo_pred,n_steps_in,n_steps_out,interval,samples_test
0,ABCB4,LSTM,0.8938933049675208,0,7,1,1wk,1
1,ABCB4,BidirectionalLSTM,0.0,0,7,1,1wk,1
2,ABCB4,convLSTM1D,0.0,0,7,1,1wk,1
3,ABCB4,convLSTM2D,0.0,0,7,1,1wk,1
4,ABEV3,LSTM,0.0,0,7,1,1wk,1
5,ABEV3,BidirectionalLSTM,8.366705298715257,0,7,1,1wk,1
6,ABEV3,convLSTM1D,0.0,0,7,1,1wk,1
7,ABEV3,convLSTM2D,5.959594730643038,0,7,1,1wk,1
8,ANIM3,LSTM,0.0,0,7,1,1wk,1
9,ANIM3,BidirectionalLSTM,0.0,0,7,1,1wk,1
10,ANIM3,convLSTM1D,0.0,0,7,1,1wk,1
11,ANIM3,convLSTM2D,0.0,0,7,1,1wk,1
12,AGRO3,LSTM,0.0,0,7,1,1wk,1
13,AGRO3,BidirectionalLSTM,9.888189777774112,0,7,1,1wk,1
14,AGRO3,convLSTM1D,2.957042553607199,0,7,1,1wk,1
15,AGRO3,convLSTM2D,0.0,0,7,1,1wk,1
16,ALPA3,LSTM,0.0,0,7,1,1wk,1
17,ALPA3,BidirectionalLSTM,1.3862276099573465,0,7,1,1wk,1
18,ALPA3,convLSTM1D,0.0,0,7,1,1wk,1
19,ALPA3,convLSTM2D,0.0,0,7,1,1wk,1
20,ALPA4,LSTM,0.0,0,7,1,1wk,1
21,ALPA4,BidirectionalLSTM,0.0,0,7,1,1wk,1
22,ALPA4,convLSTM1D,0.0,0,7,1,1wk,1
23,ALPA4,convLSTM2D,0.0,0,7,1,1wk,1
24,AMAR3,LSTM,0.0,0,7,1,1wk,1
25,AMAR3,BidirectionalLSTM,27.18819877398869,0,7,1,1wk,1
26,AMAR3,convLSTM1D,0.41898398527080283,0,7,1,1wk,1
27,AMAR3,convLSTM2D,0.0,0,7,1,1wk,1
28,ARZZ3,LSTM,0.0,0,7,1,1wk,1
