epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.16463573276996613,0.16463573276996613,0.13711032271385193,0.13711032271385193
1,0.06588923186063766,0.06588923186063766,0.13004231452941895,0.13004231452941895
2,0.05004414543509483,0.05004414543509483,0.12948301434516907,0.12948301434516907
3,0.04439322277903557,0.04439322277903557,0.13210591673851013,0.13210591673851013
4,0.04276469722390175,0.04276469722390175,0.13124997913837433,0.13124997913837433
5,0.0408707857131958,0.0408707857131958,0.13388775289058685,0.13388775289058685
6,0.03854876384139061,0.03854876384139061,0.1351689249277115,0.1351689249277115
7,0.03681319206953049,0.03681319206953049,0.13496612012386322,0.13496612012386322
8,0.035681236535310745,0.035681236535310745,0.1386595368385315,0.1386595368385315
9,0.035229094326496124,0.035229094326496124,0.13726116716861725,0.13726116716861725
10,0.032966941595077515,0.032966941595077515,0.13776707649230957,0.13776707649230957
11,0.03983059898018837,0.03983059898018837,0.1352599561214447,0.1352599561214447
12,0.03596527874469757,0.03596527874469757,0.13658922910690308,0.13658922910690308
13,0.03547938913106918,0.03547938913106918,0.1386558711528778,0.1386558711528778
14,0.03827076405286789,0.03827076405286789,0.13878239691257477,0.13878239691257477
15,0.04515247419476509,0.04515247419476509,0.1354760229587555,0.1354760229587555
16,0.03409605100750923,0.03409605100750923,0.13385739922523499,0.13385739922523499
17,0.033775102347135544,0.033775102347135544,0.13358014822006226,0.13358014822006226
18,0.03561066836118698,0.03561066836118698,0.13278277218341827,0.13278277218341827
19,0.04445638507604599,0.04445638507604599,0.1330917924642563,0.1330917924642563
20,0.040105581283569336,0.040105581283569336,0.13186608254909515,0.13186608254909515
21,0.03297223895788193,0.03297223895788193,0.13278254866600037,0.13278254866600037
22,0.03219505026936531,0.03219505026936531,0.13202142715454102,0.13202142715454102
23,0.033094678074121475,0.033094678074121475,0.13220958411693573,0.13220958411693573
24,0.03576189652085304,0.03576189652085304,0.13428381085395813,0.13428381085395813
25,0.032662488520145416,0.032662488520145416,0.13633547723293304,0.13633547723293304
26,0.03413012623786926,0.03413012623786926,0.13729508221149445,0.13729508221149445
27,0.03369688615202904,0.03369688615202904,0.1368219554424286,0.1368219554424286
