,Stock,ML,MAPE,n_steps_in,n_steps_out,interval,samples_test
0,ABCB4,LSTM,62.1,5,1,1wk,5
1,ABCB4,BidirectionalLSTM,12.7,5,1,1wk,5
2,ABCB4,convLSTM1D,27.3,5,1,1wk,5
3,ABCB4,convLSTM2D,42.3,5,1,1wk,5
4,ABEV3,LSTM,19.9,5,1,1wk,5
5,ABEV3,BidirectionalLSTM,17.9,5,1,1wk,5
6,ABEV3,convLSTM1D,15.0,5,1,1wk,5
7,ABEV3,convLSTM2D,18.6,5,1,1wk,5
8,ANIM3,LSTM,44.5,5,1,1wk,5
9,ANIM3,BidirectionalLSTM,60.5,5,1,1wk,5
10,ANIM3,convLSTM1D,22.9,5,1,1wk,5
11,ANIM3,convLSTM2D,13.8,5,1,1wk,5
12,AGRO3,LSTM,23.3,5,1,1wk,5
13,AGRO3,BidirectionalLSTM,47.5,5,1,1wk,5
14,AGRO3,convLSTM1D,50.3,5,1,1wk,5
15,AGRO3,convLSTM2D,33.5,5,1,1wk,5
16,ALPA3,LSTM,15.3,5,1,1wk,5
17,ALPA3,BidirectionalLSTM,7.6,5,1,1wk,5
18,ALPA3,convLSTM1D,19.9,5,1,1wk,5
19,ALPA3,convLSTM2D,5.8,5,1,1wk,5
20,ALPA4,LSTM,26.8,5,1,1wk,5
21,ALPA4,BidirectionalLSTM,11.1,5,1,1wk,5
22,ALPA4,convLSTM1D,7.4,5,1,1wk,5
23,ALPA4,convLSTM2D,73.6,5,1,1wk,5
24,AMAR3,LSTM,27.4,5,1,1wk,5
25,AMAR3,BidirectionalLSTM,14.5,5,1,1wk,5
26,AMAR3,convLSTM1D,15.4,5,1,1wk,5
27,AMAR3,convLSTM2D,17.1,5,1,1wk,5
28,ARZZ3,LSTM,11.2,5,1,1wk,5
29,ARZZ3,BidirectionalLSTM,9.2,5,1,1wk,5
30,ARZZ3,convLSTM1D,10.6,5,1,1wk,5
31,ARZZ3,convLSTM2D,8.5,5,1,1wk,5
32,AZUL4,LSTM,68.4,5,1,1wk,5
33,AZUL4,BidirectionalLSTM,56.4,5,1,1wk,5
34,AZUL4,convLSTM1D,52.2,5,1,1wk,5
35,AZUL4,convLSTM2D,24.3,5,1,1wk,5
36,B3SA3,LSTM,6.4,5,1,1wk,5
37,B3SA3,BidirectionalLSTM,8.3,5,1,1wk,5
38,B3SA3,convLSTM1D,5.6,5,1,1wk,5
39,B3SA3,convLSTM2D,37.3,5,1,1wk,5
40,BBAS3,LSTM,16.2,5,1,1wk,5
41,BBAS3,BidirectionalLSTM,6.2,5,1,1wk,5
42,BBAS3,convLSTM1D,26.2,5,1,1wk,5
43,BBAS3,convLSTM2D,24.3,5,1,1wk,5
44,BBDC3,LSTM,48.8,5,1,1wk,5
45,BBDC3,BidirectionalLSTM,16.0,5,1,1wk,5
46,BBDC3,convLSTM1D,27.1,5,1,1wk,5
47,BBDC3,convLSTM2D,21.9,5,1,1wk,5
48,BBSE3,LSTM,7.8,5,1,1wk,5
49,BBSE3,BidirectionalLSTM,8.0,5,1,1wk,5
50,BBSE3,convLSTM1D,12.0,5,1,1wk,5
51,BBSE3,convLSTM2D,15.9,5,1,1wk,5
52,BEEF3,LSTM,6.6,5,1,1wk,5
53,BEEF3,BidirectionalLSTM,14.3,5,1,1wk,5
54,BEEF3,convLSTM1D,6.0,5,1,1wk,5
55,BEEF3,convLSTM2D,15.8,5,1,1wk,5
56,BIDI3,LSTM,21.5,5,1,1wk,5
57,BIDI3,BidirectionalLSTM,21.9,5,1,1wk,5
58,BIDI3,convLSTM1D,26.2,5,1,1wk,5
59,BIDI3,convLSTM2D,43.0,5,1,1wk,5
60,BKBR3,LSTM,20.6,5,1,1wk,5
61,BKBR3,BidirectionalLSTM,48.7,5,1,1wk,5
62,BKBR3,convLSTM1D,39.2,5,1,1wk,5
63,BKBR3,convLSTM2D,79.4,5,1,1wk,5
64,BPAC3,LSTM,25.1,5,1,1wk,5
65,BPAC3,BidirectionalLSTM,13.9,5,1,1wk,5
66,BPAC3,convLSTM1D,15.9,5,1,1wk,5
67,BPAC3,convLSTM2D,10.6,5,1,1wk,5
68,BRAP3,LSTM,58.3,5,1,1wk,5
69,BRAP3,BidirectionalLSTM,12.2,5,1,1wk,5
70,BRAP3,convLSTM1D,13.6,5,1,1wk,5
71,BRAP3,convLSTM2D,9.8,5,1,1wk,5
72,BRDT3,LSTM,17.8,5,1,1wk,5
73,BRDT3,BidirectionalLSTM,19.3,5,1,1wk,5
74,BRDT3,convLSTM1D,6.9,5,1,1wk,5
75,BRDT3,convLSTM2D,19.9,5,1,1wk,5
76,BRFS3,LSTM,9.7,5,1,1wk,5
77,BRFS3,BidirectionalLSTM,16.5,5,1,1wk,5
78,BRFS3,convLSTM1D,6.8,5,1,1wk,5
79,BRFS3,convLSTM2D,4.9,5,1,1wk,5
80,BRSR3,LSTM,40.1,5,1,1wk,5
81,BRSR3,BidirectionalLSTM,15.0,5,1,1wk,5
82,BRSR3,convLSTM1D,22.8,5,1,1wk,5
83,BRSR3,convLSTM2D,28.8,5,1,1wk,5
84,BRKM3,LSTM,33.2,5,1,1wk,5
85,BRKM3,BidirectionalLSTM,26.2,5,1,1wk,5
86,BRKM3,convLSTM1D,13.6,5,1,1wk,5
87,BRKM3,convLSTM2D,64.4,5,1,1wk,5
88,BRML3,LSTM,77.3,5,1,1wk,5
89,BRML3,BidirectionalLSTM,20.0,5,1,1wk,5
90,BRML3,convLSTM1D,36.1,5,1,1wk,5
91,BRML3,convLSTM2D,73.5,5,1,1wk,5
92,BTOW3,LSTM,8.9,5,1,1wk,5
93,BTOW3,BidirectionalLSTM,13.4,5,1,1wk,5
94,BTOW3,convLSTM1D,14.2,5,1,1wk,5
95,BTOW3,convLSTM2D,19.5,5,1,1wk,5
96,CAML3,LSTM,25.3,5,1,1wk,5
97,CAML3,BidirectionalLSTM,23.4,5,1,1wk,5
98,CAML3,convLSTM1D,14.1,5,1,1wk,5
99,CAML3,convLSTM2D,17.4,5,1,1wk,5
100,CARD3,LSTM,8.3,5,1,1wk,5
101,CARD3,BidirectionalLSTM,8.5,5,1,1wk,5
102,CARD3,convLSTM1D,8.7,5,1,1wk,5
103,CARD3,convLSTM2D,22.1,5,1,1wk,5
104,CCRO3,LSTM,8.9,5,1,1wk,5
105,CCRO3,BidirectionalLSTM,14.0,5,1,1wk,5
106,CCRO3,convLSTM1D,3.8,5,1,1wk,5
107,CCRO3,convLSTM2D,11.1,5,1,1wk,5
108,CEAB3,LSTM,11.2,5,1,1wk,5
109,CEAB3,BidirectionalLSTM,12.5,5,1,1wk,5
110,CEAB3,convLSTM1D,15.8,5,1,1wk,5
111,CEAB3,convLSTM2D,30.5,5,1,1wk,5
112,CIEL3,LSTM,1011.6,5,1,1wk,5
113,CIEL3,BidirectionalLSTM,695.4,5,1,1wk,5
114,CIEL3,convLSTM1D,676.5,5,1,1wk,5
115,CIEL3,convLSTM2D,2359.3,5,1,1wk,5
116,CMIG3,LSTM,16.0,5,1,1wk,5
117,CMIG3,BidirectionalLSTM,35.7,5,1,1wk,5
118,CMIG3,convLSTM1D,21.7,5,1,1wk,5
119,CMIG3,convLSTM2D,31.0,5,1,1wk,5
120,CNTO3,LSTM,27.6,5,1,1wk,5
121,CNTO3,BidirectionalLSTM,24.7,5,1,1wk,5
122,CNTO3,convLSTM1D,21.4,5,1,1wk,5
123,CNTO3,convLSTM2D,15.7,5,1,1wk,5
124,COGN3,LSTM,223.5,5,1,1wk,5
125,COGN3,BidirectionalLSTM,148.8,5,1,1wk,5
126,COGN3,convLSTM1D,74.4,5,1,1wk,5
127,COGN3,convLSTM2D,122.6,5,1,1wk,5
128,CPFE3,LSTM,21.7,5,1,1wk,5
129,CPFE3,BidirectionalLSTM,16.2,5,1,1wk,5
130,CPFE3,convLSTM1D,12.3,5,1,1wk,5
131,CPFE3,convLSTM2D,11.8,5,1,1wk,5
132,CPLE3,LSTM,18.4,5,1,1wk,5
133,CPLE3,BidirectionalLSTM,6.3,5,1,1wk,5
134,CPLE3,convLSTM1D,11.0,5,1,1wk,5
135,CPLE3,convLSTM2D,36.4,5,1,1wk,5
136,CRFB3,LSTM,16.8,5,1,1wk,5
137,CRFB3,BidirectionalLSTM,16.1,5,1,1wk,5
138,CRFB3,convLSTM1D,20.8,5,1,1wk,5
139,CRFB3,convLSTM2D,9.1,5,1,1wk,5
140,CSMG3,LSTM,7.1,5,1,1wk,5
141,CSMG3,BidirectionalLSTM,16.9,5,1,1wk,5
142,CSMG3,convLSTM1D,6.5,5,1,1wk,5
143,CSMG3,convLSTM2D,34.7,5,1,1wk,5
144,CSAN3,LSTM,19.1,5,1,1wk,5
145,CSAN3,BidirectionalLSTM,15.1,5,1,1wk,5
146,CSAN3,convLSTM1D,12.4,5,1,1wk,5
147,CSAN3,convLSTM2D,13.3,5,1,1wk,5
148,CSNA3,LSTM,70.6,5,1,1wk,5
149,CSNA3,BidirectionalLSTM,10.4,5,1,1wk,5
150,CSNA3,convLSTM1D,18.7,5,1,1wk,5
151,CSNA3,convLSTM2D,28.9,5,1,1wk,5
152,CVCB3,LSTM,13.8,5,1,1wk,5
153,CVCB3,BidirectionalLSTM,69.7,5,1,1wk,5
154,CVCB3,convLSTM1D,79.8,5,1,1wk,5
155,CVCB3,convLSTM2D,12.7,5,1,1wk,5
156,CYRE3,LSTM,12.2,5,1,1wk,5
157,CYRE3,BidirectionalLSTM,15.3,5,1,1wk,5
158,CYRE3,convLSTM1D,17.7,5,1,1wk,5
159,CYRE3,convLSTM2D,29.3,5,1,1wk,5
160,DIRR3,LSTM,14.9,5,1,1wk,5
161,DIRR3,BidirectionalLSTM,12.9,5,1,1wk,5
162,DIRR3,convLSTM1D,12.2,5,1,1wk,5
163,DIRR3,convLSTM2D,16.4,5,1,1wk,5
164,DTEX3,LSTM,13.0,5,1,1wk,5
165,DTEX3,BidirectionalLSTM,14.7,5,1,1wk,5
166,DTEX3,convLSTM1D,10.6,5,1,1wk,5
167,DTEX3,convLSTM2D,10.8,5,1,1wk,5
168,ECOR3,LSTM,8.8,5,1,1wk,5
169,ECOR3,BidirectionalLSTM,6.9,5,1,1wk,5
170,ECOR3,convLSTM1D,6.9,5,1,1wk,5
171,ECOR3,convLSTM2D,16.4,5,1,1wk,5
172,EGIE3,LSTM,35.0,5,1,1wk,5
173,EGIE3,BidirectionalLSTM,8.8,5,1,1wk,5
174,EGIE3,convLSTM1D,16.2,5,1,1wk,5
175,EGIE3,convLSTM2D,19.2,5,1,1wk,5
176,ELET3,LSTM,19.1,5,1,1wk,5
177,ELET3,BidirectionalLSTM,12.9,5,1,1wk,5
178,ELET3,convLSTM1D,7.5,5,1,1wk,5
179,ELET3,convLSTM2D,18.0,5,1,1wk,5
180,ELET3,LSTM,19.1,5,1,1wk,5
181,ELET3,BidirectionalLSTM,12.9,5,1,1wk,5
182,ELET3,convLSTM1D,7.5,5,1,1wk,5
183,ELET3,convLSTM2D,18.0,5,1,1wk,5
184,EMBR3,LSTM,21.8,5,1,1wk,5
185,EMBR3,BidirectionalLSTM,13.6,5,1,1wk,5
186,EMBR3,convLSTM1D,16.9,5,1,1wk,5
187,EMBR3,convLSTM2D,20.7,5,1,1wk,5
188,ENAT3,LSTM,2.2,5,1,1wk,5
189,ENAT3,BidirectionalLSTM,3.9,5,1,1wk,5
190,ENAT3,convLSTM1D,6.7,5,1,1wk,5
191,ENAT3,convLSTM2D,14.1,5,1,1wk,5
192,ENBR3,LSTM,9.0,5,1,1wk,5
193,ENBR3,BidirectionalLSTM,5.4,5,1,1wk,5
194,ENBR3,convLSTM1D,9.0,5,1,1wk,5
195,ENBR3,convLSTM2D,4.3,5,1,1wk,5
196,ENGI3,LSTM,19.8,5,1,1wk,5
197,ENGI3,BidirectionalLSTM,14.1,5,1,1wk,5
198,ENGI3,convLSTM1D,24.9,5,1,1wk,5
199,ENGI3,convLSTM2D,22.8,5,1,1wk,5
200,EVEN3,LSTM,4.7,5,1,1wk,5
201,EVEN3,BidirectionalLSTM,5.5,5,1,1wk,5
202,EVEN3,convLSTM1D,10.0,5,1,1wk,5
203,EVEN3,convLSTM2D,7.4,5,1,1wk,5
204,EQTL3,LSTM,9.4,5,1,1wk,5
205,EQTL3,BidirectionalLSTM,12.9,5,1,1wk,5
206,EQTL3,convLSTM1D,12.1,5,1,1wk,5
207,EQTL3,convLSTM2D,12.1,5,1,1wk,5
208,ETER3,LSTM,191.7,5,1,1wk,5
209,ETER3,BidirectionalLSTM,33.2,5,1,1wk,5
210,ETER3,convLSTM1D,13.0,5,1,1wk,5
211,ETER3,convLSTM2D,48.7,5,1,1wk,5
212,EZTC3,LSTM,14.9,5,1,1wk,5
213,EZTC3,BidirectionalLSTM,5.3,5,1,1wk,5
214,EZTC3,convLSTM1D,7.6,5,1,1wk,5
215,EZTC3,convLSTM2D,20.6,5,1,1wk,5
216,FESA4,LSTM,10.6,5,1,1wk,5
217,FESA4,BidirectionalLSTM,12.1,5,1,1wk,5
218,FESA4,convLSTM1D,8.9,5,1,1wk,5
219,FESA4,convLSTM2D,10.9,5,1,1wk,5
220,FHER3,LSTM,48.1,5,1,1wk,5
221,FHER3,BidirectionalLSTM,67.0,5,1,1wk,5
222,FHER3,convLSTM1D,69.7,5,1,1wk,5
223,FHER3,convLSTM2D,60.6,5,1,1wk,5
224,FLRY3,LSTM,4.0,5,1,1wk,5
225,FLRY3,BidirectionalLSTM,13.5,5,1,1wk,5
226,FLRY3,convLSTM1D,5.8,5,1,1wk,5
227,FLRY3,convLSTM2D,10.9,5,1,1wk,5
228,GFSA3,LSTM,9.7,5,1,1wk,5
229,GFSA3,BidirectionalLSTM,7.3,5,1,1wk,5
230,GFSA3,convLSTM1D,19.9,5,1,1wk,5
231,GFSA3,convLSTM2D,166.7,5,1,1wk,5
232,GGBR3,LSTM,23.3,5,1,1wk,5
233,GGBR3,BidirectionalLSTM,7.4,5,1,1wk,5
234,GGBR3,convLSTM1D,14.3,5,1,1wk,5
235,GGBR3,convLSTM2D,14.0,5,1,1wk,5
236,GNDI3,LSTM,32.1,5,1,1wk,5
237,GNDI3,BidirectionalLSTM,30.8,5,1,1wk,5
238,GNDI3,convLSTM1D,24.5,5,1,1wk,5
239,GNDI3,convLSTM2D,38.8,5,1,1wk,5
240,GOAU3,LSTM,27.1,5,1,1wk,5
241,GOAU3,BidirectionalLSTM,6.5,5,1,1wk,5
242,GOAU3,convLSTM1D,9.2,5,1,1wk,5
243,GOAU3,convLSTM2D,10.4,5,1,1wk,5
244,GOLL4,LSTM,18.9,5,1,1wk,5
245,GOLL4,BidirectionalLSTM,32.6,5,1,1wk,5
246,GOLL4,convLSTM1D,35.1,5,1,1wk,5
247,GOLL4,convLSTM2D,24.2,5,1,1wk,5
248,GRND3,LSTM,35.8,5,1,1wk,5
249,GRND3,BidirectionalLSTM,17.6,5,1,1wk,5
250,GRND3,convLSTM1D,28.0,5,1,1wk,5
251,GRND3,convLSTM2D,26.1,5,1,1wk,5
252,GUAR3,LSTM,5.4,5,1,1wk,5
253,GUAR3,BidirectionalLSTM,39.7,5,1,1wk,5
254,GUAR3,convLSTM1D,40.7,5,1,1wk,5
255,GUAR3,convLSTM2D,18.6,5,1,1wk,5
256,HAPV3,LSTM,33.6,5,1,1wk,5
257,HAPV3,BidirectionalLSTM,10.0,5,1,1wk,5
258,HAPV3,convLSTM1D,9.3,5,1,1wk,5
259,HAPV3,convLSTM2D,28.6,5,1,1wk,5
260,HGTX3,LSTM,12.5,5,1,1wk,5
261,HGTX3,BidirectionalLSTM,14.5,5,1,1wk,5
262,HGTX3,convLSTM1D,16.5,5,1,1wk,5
263,HGTX3,convLSTM2D,54.9,5,1,1wk,5
264,HYPE3,LSTM,8.8,5,1,1wk,5
265,HYPE3,BidirectionalLSTM,9.2,5,1,1wk,5
266,HYPE3,convLSTM1D,12.6,5,1,1wk,5
267,HYPE3,convLSTM2D,25.8,5,1,1wk,5
268,IGTA3,LSTM,20.4,5,1,1wk,5
269,IGTA3,BidirectionalLSTM,17.3,5,1,1wk,5
270,IGTA3,convLSTM1D,22.6,5,1,1wk,5
271,IGTA3,convLSTM2D,27.0,5,1,1wk,5
272,IRBR3,LSTM,35.6,5,1,1wk,5
273,IRBR3,BidirectionalLSTM,26.6,5,1,1wk,5
274,IRBR3,convLSTM1D,104.3,5,1,1wk,5
275,IRBR3,convLSTM2D,15.1,5,1,1wk,5
276,ITSA3,LSTM,9.4,5,1,1wk,5
277,ITSA3,BidirectionalLSTM,6.3,5,1,1wk,5
278,ITSA3,convLSTM1D,17.8,5,1,1wk,5
279,ITSA3,convLSTM2D,27.8,5,1,1wk,5
280,ITUB3,LSTM,43.4,5,1,1wk,5
281,ITUB3,BidirectionalLSTM,19.5,5,1,1wk,5
282,ITUB3,convLSTM1D,19.4,5,1,1wk,5
283,ITUB3,convLSTM2D,18.7,5,1,1wk,5
284,JBSS3,LSTM,25.6,5,1,1wk,5
285,JBSS3,BidirectionalLSTM,20.4,5,1,1wk,5
286,JBSS3,convLSTM1D,18.8,5,1,1wk,5
287,JBSS3,convLSTM2D,39.4,5,1,1wk,5
288,JHSF3,LSTM,4.8,5,1,1wk,5
289,JHSF3,BidirectionalLSTM,9.9,5,1,1wk,5
290,JHSF3,convLSTM1D,9.6,5,1,1wk,5
291,JHSF3,convLSTM2D,20.2,5,1,1wk,5
292,KLBN11,LSTM,17.9,5,1,1wk,5
293,KLBN11,BidirectionalLSTM,23.7,5,1,1wk,5
294,KLBN11,convLSTM1D,21.0,5,1,1wk,5
295,KLBN11,convLSTM2D,44.9,5,1,1wk,5
296,LAME3,LSTM,45.0,5,1,1wk,5
297,LAME3,BidirectionalLSTM,34.4,5,1,1wk,5
298,LAME3,convLSTM1D,39.0,5,1,1wk,5
299,LAME3,convLSTM2D,22.1,5,1,1wk,5
300,LEVE3,LSTM,32.6,5,1,1wk,5
301,LEVE3,BidirectionalLSTM,19.7,5,1,1wk,5
302,LEVE3,convLSTM1D,14.9,5,1,1wk,5
303,LEVE3,convLSTM2D,12.4,5,1,1wk,5
304,LIGT3,LSTM,25.2,5,1,1wk,5
305,LIGT3,BidirectionalLSTM,20.6,5,1,1wk,5
306,LIGT3,convLSTM1D,17.4,5,1,1wk,5
307,LIGT3,convLSTM2D,18.8,5,1,1wk,5
308,LINX3,LSTM,2.6,5,1,1wk,5
309,LINX3,BidirectionalLSTM,16.1,5,1,1wk,5
310,LINX3,convLSTM1D,2.0,5,1,1wk,5
311,LINX3,convLSTM2D,3.5,5,1,1wk,5
312,LLIS3,LSTM,238.6,5,1,1wk,5
313,LLIS3,BidirectionalLSTM,131.1,5,1,1wk,5
314,LLIS3,convLSTM1D,163.5,5,1,1wk,5
315,LLIS3,convLSTM2D,1114.0,5,1,1wk,5
316,LOGN3,LSTM,11.8,5,1,1wk,5
317,LOGN3,BidirectionalLSTM,13.9,5,1,1wk,5
318,LOGN3,convLSTM1D,16.7,5,1,1wk,5
319,LOGN3,convLSTM2D,16.6,5,1,1wk,5
320,LREN3,LSTM,30.8,5,1,1wk,5
321,LREN3,BidirectionalLSTM,19.4,5,1,1wk,5
322,LREN3,convLSTM1D,23.7,5,1,1wk,5
323,LREN3,convLSTM2D,12.7,5,1,1wk,5
324,LWSA3,LSTM,7.9,5,1,1wk,5
325,LWSA3,BidirectionalLSTM,8.1,5,1,1wk,5
326,LWSA3,convLSTM1D,7.9,5,1,1wk,5
327,LWSA3,convLSTM2D,8.2,5,1,1wk,5
328,MDIA3,LSTM,62.5,5,1,1wk,5
329,MDIA3,BidirectionalLSTM,24.6,5,1,1wk,5
330,MDIA3,convLSTM1D,16.9,5,1,1wk,5
331,MDIA3,convLSTM2D,41.3,5,1,1wk,5
332,MEAL3,LSTM,24.0,5,1,1wk,5
333,MEAL3,BidirectionalLSTM,22.7,5,1,1wk,5
334,MEAL3,convLSTM1D,19.7,5,1,1wk,5
335,MEAL3,convLSTM2D,17.4,5,1,1wk,5
336,MGLU3,LSTM,5.2,5,1,1wk,5
337,MGLU3,BidirectionalLSTM,8.5,5,1,1wk,5
338,MGLU3,convLSTM1D,12.2,5,1,1wk,5
339,MGLU3,convLSTM2D,7.5,5,1,1wk,5
340,MILS3,LSTM,11.1,5,1,1wk,5
341,MILS3,BidirectionalLSTM,23.4,5,1,1wk,5
342,MILS3,convLSTM1D,11.3,5,1,1wk,5
343,MILS3,convLSTM2D,32.2,5,1,1wk,5
344,MRFG3,LSTM,12.7,5,1,1wk,5
345,MRFG3,BidirectionalLSTM,16.7,5,1,1wk,5
346,MRFG3,convLSTM1D,4.4,5,1,1wk,5
347,MRFG3,convLSTM2D,7.2,5,1,1wk,5
348,MRVE3,LSTM,15.1,5,1,1wk,5
