,Stock,Polarity
0,ABCB4,0.0
1,ABEV3,0.044930069930069934
2,ANIM3,-0.0016666666666666668
3,AGRO3,0.0
4,ALPA3,0.0
5,ALPA4,0.0
6,AMAR3,0.0
7,ARZZ3,0.01875
8,AZUL4,-0.029545454545454545
9,B3SA3,0.04285055286319073
10,BBAS3,0.007492163009404389
11,BBDC3,0.013311688311688311
12,BBSE3,0.03194444444444444
13,BEEF3,0.003217821782178217
14,BIDI3,0.0
15,BKBR3,0.0
16,BPAC3,0.0
17,BRAP3,0.0
18,BRDT3,0.0
19,BRFS3,0.016666666666666666
20,BRSR3,0.0
21,BRKM3,0.02
22,BRML3,-0.0016949152542372883
23,BTOW3,0.008467741935483872
24,CAML3,-0.014250614250614252
25,CARD3,-0.002777777777777777
26,CCRO3,-0.0011904761904761906
27,CEAB3,0.10909090909090909
28,CIEL3,0.01629511677282378
29,CMIG3,0.2833333333333333
30,CNTO3,0.0
31,COGN3,0.012534732117412368
32,CPFE3,0.0035714285714285718
33,CPLE3,0.007177033492822966
34,CRFB3,0.008
35,CSMG3,-0.13333333333333333
36,CSAN3,-0.0361868686868687
37,CSNA3,0.015289256198347109
38,CVCB3,0.010169491525423728
39,CYRE3,0.03206388206388206
40,DIRR3,0.0
41,DTEX3,0.0875
42,ECOR3,0.0006944444444444443
43,EGIE3,-0.01904761904761905
44,ELET3,0.004761904761904762
45,ELET3,0.004761904761904762
46,EMBR3,0.024107142857142858
47,ENAT3,0.0
48,ENBR3,0.008415233415233416
49,ENGI3,0.03409090909090909
50,EVEN3,0.016835016835016835
51,EQTL3,0.010909090909090908
52,ETER3,0.0
53,EZTC3,0.0
54,FESA4,-0.00683876811594203
55,FHER3,0.0
56,FLRY3,0.0
57,GFSA3,0.0
58,GGBR3,0.0
59,GNDI3,0.014319828722002631
60,GOAU3,0.0
61,GOLL4,-0.024185248713550603
62,GRND3,0.0
63,GUAR3,0.0
64,HAPV3,0.013619590741361955
65,HGTX3,0.0
66,HYPE3,0.023667711598746078
67,IGTA3,-0.003703703703703704
68,IRBR3,0.022872340425531913
69,ITSA3,0.0
70,ITUB3,0.012937062937062937
71,JBSS3,0.01875
72,JHSF3,-0.0064071566731141215
73,KLBN11,0.020871985157699443
74,LAME3,0.0
75,LEVE3,-0.002173913043478261
76,LIGT3,0.314667956157318
77,LINX3,0.0
78,LLIS3,0.0
79,LOGN3,0.0
80,LREN3,0.0
81,LWSA3,0.008148148148148147
82,MDIA3,0.0
83,MEAL3,0.003448275862068966
84,MGLU3,0.0016233766233766235
85,MILS3,-0.0035714285714285718
86,MRFG3,0.009114583333333336
87,MRVE3,-0.0015896671634376563
88,MULT3,-0.003472222222222222
89,MYPK3,0.002525252525252525
90,NEOE3,0.0
91,NTCO3,-0.001388888888888889
92,OIBR3,-0.002642857142857143
93,OMGE3,0.1875
94,PSSA3,0.0
95,PCAR3,0.010489510489510488
96,PFRM3,0.0
97,PETR3,0.04143835616438356
98,POMO3,-0.009615384615384616
99,POSI3,-0.06666666666666668
100,PRIO3,0.008831908831908831
101,PTBL3,0.03333333333333333
102,QUAL3,0.0
103,RADL3,0.0
104,RAIL3,0.016666666666666666
105,RAPT3,0.0
106,RLOG3,0.0
107,RENT3,0.0
108,SANB11,0.005
109,SAPR11,0.0023809523809523816
110,SBSP3,0.0
111,SHUL4,-0.013888888888888888
112,SMTO3,0.0
113,SQIA3,0.0
114,STBP3,-0.02727272727272727
115,SULA3,0.0
116,SUZB3,0.026652892561983475
117,TASA3,0.041666666666666664
118,TCSA3,0.0
119,TGMA3,0.0
120,TAEE3,-0.022222222222222223
121,TIMP3,0.0
122,TOTS3,-0.000625
123,TRIS3,0.021739130434782608
124,TUPY3,0.0
125,UGPA3,0.0
126,UNIP6,0.0
127,USIM5,0.007051282051282052
128,VALE3,0.016577479338842977
129,VIVT3,0.014705882352941176
130,VLID3,0.03787878787878787
131,VULC3,0.0047619047619047615
132,VVAR3,-0.008093716719914802
133,WEGE3,-0.0017666666666666664
134,WIZS3,0.0
135,YDUQ3,0.01818181818181818
