epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.22714674472808838,0.22714674472808838,0.1654951125383377,0.1654951274394989
1,0.06584672629833221,0.06584672629833221,0.0637020468711853,0.0637020394206047
2,0.0418306365609169,0.041830629110336304,0.05171132832765579,0.05171132832765579
3,0.03314993157982826,0.033149927854537964,0.05710356682538986,0.05710356682538986
4,0.03510259464383125,0.035102590918540955,0.04935409501194954,0.04935409128665924
5,0.031108755618333817,0.031108757480978966,0.04737512394785881,0.04737512394785881
6,0.031466905027627945,0.03146689757704735,0.06267379224300385,0.06267379969358444
7,0.03020099550485611,0.030200999230146408,0.044815998524427414,0.044815998524427414
8,0.028047161176800728,0.02804715558886528,0.0479026697576046,0.0479026697576046
9,0.027721239253878593,0.02772124484181404,0.042407721281051636,0.042407725006341934
10,0.02842857502400875,0.0284285806119442,0.05600329488515854,0.05600329861044884
11,0.028093812987208366,0.028093820437788963,0.05167611688375473,0.05167611688375473
12,0.03061801940202713,0.03061802126467228,0.03640982508659363,0.036409828811883926
13,0.026937361806631088,0.026937361806631088,0.04765127971768379,0.047651275992393494
14,0.027543561533093452,0.027543555945158005,0.053035229444503784,0.053035225719213486
15,0.02570168301463127,0.02570169046521187,0.04856807366013527,0.04856806993484497
16,0.026117105036973953,0.026117099449038506,0.06044768542051315,0.060447677969932556
17,0.025758206844329834,0.025758208706974983,0.04077865928411484,0.04077865555882454
18,0.025397060438990593,0.025397058576345444,0.050158899277448654,0.05015890300273895
19,0.025850528851151466,0.025850538164377213,0.05845123901963234,0.05845124274492264
20,0.026333825662732124,0.026333825662732124,0.0647822842001915,0.0647822842001915
21,0.026221778243780136,0.026221776381134987,0.04438003525137901,0.04438003525137901
22,0.025401363149285316,0.025401365011930466,0.05218829587101936,0.05218829587101936
23,0.024830453097820282,0.024830453097820282,0.03219591826200485,0.03219591826200485
24,0.026579011231660843,0.026579005643725395,0.0507144033908844,0.0507144033908844
25,0.024961262941360474,0.02496126852929592,0.04953034967184067,0.04953034967184067
26,0.024720633402466774,0.024720633402466774,0.038111861795186996,0.0381118580698967
27,0.027448274195194244,0.027448276057839394,0.06967137008905411,0.06967137008905411
28,0.02709505334496498,0.027095047757029533,0.03419358283281326,0.03419358283281326
29,0.026022985577583313,0.026022985577583313,0.04594530910253525,0.04594530910253525
30,0.024184010922908783,0.024183999747037888,0.04635800048708916,0.046358004212379456
31,0.02415737882256508,0.024157382547855377,0.0468888096511364,0.0468888133764267
32,0.024531163275241852,0.024531163275241852,0.053769081830978394,0.053769081830978394
33,0.02427764981985092,0.02427765540778637,0.05371672287583351,0.053716711699962616
34,0.02504710480570793,0.025047101080417633,0.05478668212890625,0.05478667840361595
35,0.028414813801646233,0.028414811939001083,0.05996602028608322,0.05996601656079292
36,0.024774936959147453,0.024774929508566856,0.048705000430345535,0.04870498925447464
37,0.02401076629757881,0.024010760709643364,0.03701167553663254,0.03701167181134224
38,0.024190854281187057,0.024190852418541908,0.05267912894487381,0.05267912894487381
39,0.02405533567070961,0.02405533753335476,0.04399361088871956,0.04399361088871956
40,0.024311488494277,0.0243114922195673,0.05639132857322693,0.05639133229851723
41,0.02389146201312542,0.02389146387577057,0.037604618817567825,0.03760461509227753
42,0.02389552630484104,0.023895524442195892,0.048129722476005554,0.04812971502542496
43,0.02334675006568432,0.02334674634039402,0.04994824528694153,0.04994824528694153
44,0.024416906759142876,0.024416906759142876,0.05125131458044052,0.05125131085515022
45,0.025631779804825783,0.025631779804825783,0.0530191995203495,0.0530192032456398
46,0.023312728852033615,0.023312732577323914,0.05094261094927788,0.05094260722398758
47,0.02386625111103058,0.023866254836320877,0.0531780980527401,0.0531780943274498
48,0.0231275986880064,0.023127606138586998,0.057472117245197296,0.057472113519907
