,Stock,ML,gain_pred,index_maximo_pred,n_steps_in,n_steps_out,interval,samples_test
62,BKBR3,convLSTM1D,64.5988199369687,3,21,5,1d,1
63,BKBR3,convLSTM2D,47.66463026600442,4,21,5,1d,1
64,BPAC3,LSTM,1.5947572978926325,0,21,5,1d,1
65,BPAC3,BidirectionalLSTM,21.469017105049446,4,21,5,1d,1
66,BPAC3,convLSTM1D,16.856497337153854,4,21,5,1d,1
67,BPAC3,convLSTM2D,0.0,0,21,5,1d,1
68,BRAP3,LSTM,0.0,0,21,5,1d,1
69,BRAP3,BidirectionalLSTM,0.0,0,21,5,1d,1
70,BRAP3,convLSTM1D,3.849158840668358,0,21,5,1d,1
71,BRAP3,convLSTM2D,0.0,0,21,5,1d,1
72,BRDT3,LSTM,18.190077398096115,0,21,5,1d,1
73,BRDT3,BidirectionalLSTM,97.88560568186638,4,21,5,1d,1
74,BRDT3,convLSTM1D,24.945486053769493,4,21,5,1d,1
75,BRDT3,convLSTM2D,17.888701028049702,4,21,5,1d,1
76,BRFS3,LSTM,130.12346017640078,4,21,5,1d,1
77,BRFS3,BidirectionalLSTM,0.0,0,21,5,1d,1
78,BRFS3,convLSTM1D,0.0,0,21,5,1d,1
79,BRFS3,convLSTM2D,0.0,0,21,5,1d,1
80,BRSR3,LSTM,7.3699583983145525,0,21,5,1d,1
81,BRSR3,BidirectionalLSTM,113.14120091110291,4,21,5,1d,1
82,BRSR3,convLSTM1D,13.001093707677239,2,21,5,1d,1
83,BRSR3,convLSTM2D,0.0,0,21,5,1d,1
84,BRKM3,LSTM,27.259144556650167,1,21,5,1d,1
85,BRKM3,BidirectionalLSTM,20.016413502634762,1,21,5,1d,1
86,BRKM3,convLSTM1D,16.040210811504004,4,21,5,1d,1
87,BRKM3,convLSTM2D,0.0,0,21,5,1d,1
88,BRML3,LSTM,26.809488242060237,0,21,5,1d,1
89,BRML3,BidirectionalLSTM,36.274398528168334,4,21,5,1d,1
90,BRML3,convLSTM1D,32.35658219528856,4,21,5,1d,1
91,BRML3,convLSTM2D,32.93359077513009,1,21,5,1d,1
92,BTOW3,LSTM,0.0,0,21,5,1d,1
93,BTOW3,BidirectionalLSTM,20.833155832291833,4,21,5,1d,1
94,BTOW3,convLSTM1D,1.155732748809544,2,21,5,1d,1
95,BTOW3,convLSTM2D,0.0,0,21,5,1d,1
96,CAML3,LSTM,31.597748078198073,4,21,5,1d,1
97,CAML3,BidirectionalLSTM,43.32791545476572,4,21,5,1d,1
98,CAML3,convLSTM1D,5.6387420906963595,1,21,5,1d,1
99,CAML3,convLSTM2D,13.666293274358926,4,21,5,1d,1
100,CARD3,LSTM,0.0,0,21,5,1d,1
101,CARD3,BidirectionalLSTM,0.0,0,21,5,1d,1
102,CARD3,convLSTM1D,0.0,0,21,5,1d,1
103,CARD3,convLSTM2D,0.0,0,21,5,1d,1
104,CCRO3,LSTM,66.54341383803664,4,21,5,1d,1
105,CCRO3,BidirectionalLSTM,0.0,0,21,5,1d,1
106,CCRO3,convLSTM1D,14.979413451908307,4,21,5,1d,1
107,CCRO3,convLSTM2D,0.0,0,21,5,1d,1
108,CEAB3,LSTM,59.24974916233564,0,21,5,1d,1
109,CEAB3,BidirectionalLSTM,35.21801771598846,2,21,5,1d,1
110,CEAB3,convLSTM1D,51.1234931725503,3,21,5,1d,1
111,CEAB3,convLSTM2D,25.626927552031297,2,21,5,1d,1
112,CIEL3,LSTM,18.251717223519094,1,21,5,1d,1
113,CIEL3,BidirectionalLSTM,0.0,0,21,5,1d,1
114,CIEL3,convLSTM1D,737.8916311653418,4,21,5,1d,1
115,CIEL3,convLSTM2D,661.96914416312,0,21,5,1d,1
116,CMIG3,LSTM,0.0,0,21,5,1d,1
117,CMIG3,BidirectionalLSTM,0.0,0,21,5,1d,1
118,CMIG3,convLSTM1D,0.15730087500645276,0,21,5,1d,1
119,CMIG3,convLSTM2D,0.0,0,21,5,1d,1
120,CNTO3,LSTM,0.0,0,21,5,1d,1
121,CNTO3,BidirectionalLSTM,20.247501750713752,2,21,5,1d,1
122,CNTO3,convLSTM1D,19.809623184679147,2,21,5,1d,1
123,CNTO3,convLSTM2D,25.169193951406132,2,21,5,1d,1
124,COGN3,LSTM,327.2269680647054,0,21,5,1d,1
125,COGN3,BidirectionalLSTM,325.7350626609721,1,21,5,1d,1
126,COGN3,convLSTM1D,164.16446276187887,0,21,5,1d,1
127,COGN3,convLSTM2D,305.7674730769792,1,21,5,1d,1
128,CPFE3,LSTM,0.0,0,21,5,1d,1
