,Stock,ML,gain_pred,index_maximo_pred,n_steps_in,n_steps_out,interval,samples_test
0,ABCB4,LSTM,0.0,0,3,3,1d,1
1,ABCB4,BidirectionalLSTM,0.0,0,3,3,1d,1
2,ABCB4,convLSTM1D,0.0,0,3,3,1d,1
3,ABCB4,convLSTM2D,0.0,0,3,3,1d,1
4,ABEV3,LSTM,0.0,0,3,3,1d,1
5,ABEV3,BidirectionalLSTM,0.0,0,3,3,1d,1
6,ABEV3,convLSTM1D,0.0,0,3,3,1d,1
7,ABEV3,convLSTM2D,0.0,0,3,3,1d,1
8,ANIM3,LSTM,4.45041122735505,1,3,3,1d,1
9,ANIM3,BidirectionalLSTM,12.985111624481593,2,3,3,1d,1
10,ANIM3,convLSTM1D,19.14529400814768,2,3,3,1d,1
11,ANIM3,convLSTM2D,3.7662375203282887,2,3,3,1d,1
12,AGRO3,LSTM,0.0,0,3,3,1d,1
13,AGRO3,BidirectionalLSTM,0.0,0,3,3,1d,1
14,AGRO3,convLSTM1D,0.0,0,3,3,1d,1
15,AGRO3,convLSTM2D,0.0,0,3,3,1d,1
16,ALPA3,LSTM,2.5454990457567783,0,3,3,1d,1
17,ALPA3,BidirectionalLSTM,10.33377198095317,1,3,3,1d,1
18,ALPA3,convLSTM1D,6.0648452885134745,1,3,3,1d,1
19,ALPA3,convLSTM2D,0.0,0,3,3,1d,1
20,ALPA4,LSTM,18.254327022775215,0,3,3,1d,1
21,ALPA4,BidirectionalLSTM,11.644325946487314,2,3,3,1d,1
22,ALPA4,convLSTM1D,5.352576800176377,1,3,3,1d,1
23,ALPA4,convLSTM2D,0.0,0,3,3,1d,1
24,AMAR3,LSTM,12.298368426979117,0,3,3,1d,1
25,AMAR3,BidirectionalLSTM,43.26213944671503,2,3,3,1d,1
26,AMAR3,convLSTM1D,46.86738220799685,1,3,3,1d,1
27,AMAR3,convLSTM2D,95.66015220350693,1,3,3,1d,1
28,ARZZ3,LSTM,12.511933441459314,0,3,3,1d,1
29,ARZZ3,BidirectionalLSTM,0.0,0,3,3,1d,1
30,ARZZ3,convLSTM1D,3.3617294151110615,2,3,3,1d,1
31,ARZZ3,convLSTM2D,0.0,0,3,3,1d,1
32,AZUL4,LSTM,0.0,0,3,3,1d,1
33,AZUL4,BidirectionalLSTM,0.0,0,3,3,1d,1
34,AZUL4,convLSTM1D,0.0,0,3,3,1d,1
35,AZUL4,convLSTM2D,0.0,0,3,3,1d,1
36,B3SA3,LSTM,4.928496537843011,0,3,3,1d,1
37,B3SA3,BidirectionalLSTM,0.0,0,3,3,1d,1
38,B3SA3,convLSTM1D,0.0,0,3,3,1d,1
39,B3SA3,convLSTM2D,0.0,0,3,3,1d,1
40,BBAS3,LSTM,4.539415561982916,2,3,3,1d,1
41,BBAS3,BidirectionalLSTM,16.706757645014598,2,3,3,1d,1
42,BBAS3,convLSTM1D,0.0,0,3,3,1d,1
43,BBAS3,convLSTM2D,0.0,0,3,3,1d,1
44,BBDC3,LSTM,0.0,0,3,3,1d,1
45,BBDC3,BidirectionalLSTM,3.646106037319221,0,3,3,1d,1
46,BBDC3,convLSTM1D,0.0,0,3,3,1d,1
47,BBDC3,convLSTM2D,0.0,0,3,3,1d,1
48,BBSE3,LSTM,3.485814874325288,2,3,3,1d,1
49,BBSE3,BidirectionalLSTM,2.023547915143669,2,3,3,1d,1
50,BBSE3,convLSTM1D,0.5831970643559382,0,3,3,1d,1
51,BBSE3,convLSTM2D,0.0,0,3,3,1d,1
52,BEEF3,LSTM,0.0,0,3,3,1d,1
53,BEEF3,BidirectionalLSTM,8.263218402862549,2,3,3,1d,1
54,BEEF3,convLSTM1D,0.0,0,3,3,1d,1
55,BEEF3,convLSTM2D,9.599041938781738,2,3,3,1d,1
56,BIDI3,LSTM,0.0,0,3,3,1d,1
57,BIDI3,BidirectionalLSTM,0.0,0,3,3,1d,1
58,BIDI3,convLSTM1D,0.0,0,3,3,1d,1
59,BIDI3,convLSTM2D,0.0,0,3,3,1d,1
60,BKBR3,LSTM,7.719119331825494,0,3,3,1d,1
61,BKBR3,BidirectionalLSTM,0.0,0,3,3,1d,1
62,BKBR3,convLSTM1D,14.377797743148824,1,3,3,1d,1
63,BKBR3,convLSTM2D,11.454359191321814,1,3,3,1d,1
64,BPAC3,LSTM,11.014460085464716,0,3,3,1d,1
65,BPAC3,BidirectionalLSTM,25.956900072566857,2,3,3,1d,1
66,BPAC3,convLSTM1D,19.9920250827588,2,3,3,1d,1
67,BPAC3,convLSTM2D,7.2799211149539245,2,3,3,1d,1
68,BRAP3,LSTM,0.0,0,3,3,1d,1
69,BRAP3,BidirectionalLSTM,2.4662318061486497,0,3,3,1d,1
70,BRAP3,convLSTM1D,0.0,0,3,3,1d,1
71,BRAP3,convLSTM2D,0.0,0,3,3,1d,1
72,BRDT3,LSTM,18.436632983191874,0,3,3,1d,1
73,BRDT3,BidirectionalLSTM,17.08886997150415,2,3,3,1d,1
74,BRDT3,convLSTM1D,7.5318307604756,1,3,3,1d,1
75,BRDT3,convLSTM2D,11.96466599394196,1,3,3,1d,1
76,BRFS3,LSTM,0.0,0,3,3,1d,1
77,BRFS3,BidirectionalLSTM,24.012820270753636,0,3,3,1d,1
78,BRFS3,convLSTM1D,2.757459548211834,2,3,3,1d,1
79,BRFS3,convLSTM2D,0.0,0,3,3,1d,1
80,BRSR3,LSTM,0.0,0,3,3,1d,1
81,BRSR3,BidirectionalLSTM,6.780080248912222,0,3,3,1d,1
82,BRSR3,convLSTM1D,0.0,0,3,3,1d,1
83,BRSR3,convLSTM2D,3.9279473324617205,0,3,3,1d,1
84,BRKM3,LSTM,0.0,0,3,3,1d,1
85,BRKM3,BidirectionalLSTM,12.919012625612813,2,3,3,1d,1
86,BRKM3,convLSTM1D,0.0,0,3,3,1d,1
87,BRKM3,convLSTM2D,0.0,0,3,3,1d,1
88,BRML3,LSTM,0.0,0,3,3,1d,1
89,BRML3,BidirectionalLSTM,18.787305404062284,0,3,3,1d,1
90,BRML3,convLSTM1D,0.0,0,3,3,1d,1
91,BRML3,convLSTM2D,76.55591115559639,1,3,3,1d,1
92,BTOW3,LSTM,0.0,0,3,3,1d,1
93,BTOW3,BidirectionalLSTM,0.0,0,3,3,1d,1
94,BTOW3,convLSTM1D,0.0,0,3,3,1d,1
95,BTOW3,convLSTM2D,4.876690314138445,1,3,3,1d,1
96,CAML3,LSTM,12.462001633269631,2,3,3,1d,1
97,CAML3,BidirectionalLSTM,15.323710087914332,2,3,3,1d,1
98,CAML3,convLSTM1D,9.068869920301195,2,3,3,1d,1
99,CAML3,convLSTM2D,0.0,0,3,3,1d,1
100,CARD3,LSTM,0.0,0,3,3,1d,1
101,CARD3,BidirectionalLSTM,0.0,0,3,3,1d,1
102,CARD3,convLSTM1D,0.6574173843053943,2,3,3,1d,1
103,CARD3,convLSTM2D,0.0,0,3,3,1d,1
104,CCRO3,LSTM,19.712293400027864,1,3,3,1d,1
105,CCRO3,BidirectionalLSTM,11.052306415588854,2,3,3,1d,1
106,CCRO3,convLSTM1D,4.556170323999897,2,3,3,1d,1
107,CCRO3,convLSTM2D,16.85146376369443,2,3,3,1d,1
108,CEAB3,LSTM,10.160856209905758,1,3,3,1d,1
109,CEAB3,BidirectionalLSTM,8.087429639983263,1,3,3,1d,1
110,CEAB3,convLSTM1D,11.659823619039669,2,3,3,1d,1
111,CEAB3,convLSTM2D,0.0,0,3,3,1d,1
112,CIEL3,LSTM,326.2791594939515,0,3,3,1d,1
113,CIEL3,BidirectionalLSTM,205.97539645649516,1,3,3,1d,1
114,CIEL3,convLSTM1D,259.0294794270959,2,3,3,1d,1
115,CIEL3,convLSTM2D,295.18187370823955,0,3,3,1d,1
116,CMIG3,LSTM,0.0,0,3,3,1d,1
117,CMIG3,BidirectionalLSTM,0.0,0,3,3,1d,1
118,CMIG3,convLSTM1D,0.0,0,3,3,1d,1
119,CMIG3,convLSTM2D,0.0,0,3,3,1d,1
120,CNTO3,LSTM,17.632882794388205,2,3,3,1d,1
121,CNTO3,BidirectionalLSTM,1.9626998372148863,0,3,3,1d,1
122,CNTO3,convLSTM1D,12.233252308620528,2,3,3,1d,1
123,CNTO3,convLSTM2D,0.0,0,3,3,1d,1
124,COGN3,LSTM,124.35453103591105,2,3,3,1d,1
125,COGN3,BidirectionalLSTM,78.07534174729486,2,3,3,1d,1
126,COGN3,convLSTM1D,123.63107572509495,2,3,3,1d,1
127,COGN3,convLSTM2D,205.04878092679127,1,3,3,1d,1
128,CPFE3,LSTM,6.9368979093190575,0,3,3,1d,1
129,CPFE3,BidirectionalLSTM,4.7185678095430745,2,3,3,1d,1
130,CPFE3,convLSTM1D,3.4988573435190364,2,3,3,1d,1
131,CPFE3,convLSTM2D,0.0,0,3,3,1d,1
132,CPLE3,LSTM,12.654686221574904,2,3,3,1d,1
133,CPLE3,BidirectionalLSTM,11.908925348630675,2,3,3,1d,1
134,CPLE3,convLSTM1D,7.66194914030424,2,3,3,1d,1
135,CPLE3,convLSTM2D,0.0,0,3,3,1d,1
136,CRFB3,LSTM,20.605145111485403,2,3,3,1d,1
137,CRFB3,BidirectionalLSTM,4.195217279979569,0,3,3,1d,1
138,CRFB3,convLSTM1D,4.558496992543072,0,3,3,1d,1
139,CRFB3,convLSTM2D,0.0,0,3,3,1d,1
140,CSMG3,LSTM,0.0,0,3,3,1d,1
141,CSMG3,BidirectionalLSTM,0.0,0,3,3,1d,1
142,CSMG3,convLSTM1D,1.5328525751163216,0,3,3,1d,1
143,CSMG3,convLSTM2D,0.0,0,3,3,1d,1
144,CSAN3,LSTM,0.0,0,3,3,1d,1
145,CSAN3,BidirectionalLSTM,7.0985789861645765,0,3,3,1d,1
146,CSAN3,convLSTM1D,3.9193375841490234,1,3,3,1d,1
147,CSAN3,convLSTM2D,0.0,0,3,3,1d,1
148,CSNA3,LSTM,4.662654459956331,0,3,3,1d,1
149,CSNA3,BidirectionalLSTM,0.0,0,3,3,1d,1
150,CSNA3,convLSTM1D,0.0,0,3,3,1d,1
151,CSNA3,convLSTM2D,0.0,0,3,3,1d,1
152,CVCB3,LSTM,13.09236881440268,2,3,3,1d,1
153,CVCB3,BidirectionalLSTM,15.226209922108074,0,3,3,1d,1
154,CVCB3,convLSTM1D,5.423996392302854,2,3,3,1d,1
155,CVCB3,convLSTM2D,0.11502020730227015,0,3,3,1d,1
156,CYRE3,LSTM,7.516890540866014,0,3,3,1d,1
157,CYRE3,BidirectionalLSTM,0.0,0,3,3,1d,1
158,CYRE3,convLSTM1D,0.0,0,3,3,1d,1
159,CYRE3,convLSTM2D,0.0,0,3,3,1d,1
160,DIRR3,LSTM,0.0,0,3,3,1d,1
161,DIRR3,BidirectionalLSTM,11.941478430755472,2,3,3,1d,1
162,DIRR3,convLSTM1D,15.034315107375592,1,3,3,1d,1
163,DIRR3,convLSTM2D,0.0,0,3,3,1d,1
164,DTEX3,LSTM,30.019166212786676,0,3,3,1d,1
165,DTEX3,BidirectionalLSTM,15.505768855412807,2,3,3,1d,1
166,DTEX3,convLSTM1D,0.0,0,3,3,1d,1
167,DTEX3,convLSTM2D,0.0,0,3,3,1d,1
168,ECOR3,LSTM,14.657065001401048,2,3,3,1d,1
169,ECOR3,BidirectionalLSTM,0.0,0,3,3,1d,1
170,ECOR3,convLSTM1D,0.0,0,3,3,1d,1
171,ECOR3,convLSTM2D,25.733257078078115,2,3,3,1d,1
172,EGIE3,LSTM,6.995133136851823,1,3,3,1d,1
173,EGIE3,BidirectionalLSTM,4.47250101838463,0,3,3,1d,1
174,EGIE3,convLSTM1D,5.794597123887058,1,3,3,1d,1
175,EGIE3,convLSTM2D,0.43726204880117314,0,3,3,1d,1
176,ELET3,LSTM,25.67699145978149,0,3,3,1d,1
177,ELET3,BidirectionalLSTM,19.753501642774406,2,3,3,1d,1
178,ELET3,convLSTM1D,5.467678127882064,2,3,3,1d,1
179,ELET3,convLSTM2D,0.0,0,3,3,1d,1
180,ELET3,LSTM,25.67699145978149,0,3,3,1d,1
181,ELET3,BidirectionalLSTM,19.753501642774406,2,3,3,1d,1
182,ELET3,convLSTM1D,5.467678127882064,2,3,3,1d,1
183,ELET3,convLSTM2D,0.0,0,3,3,1d,1
184,EMBR3,LSTM,0.0,0,3,3,1d,1
185,EMBR3,BidirectionalLSTM,7.556024219381799,0,3,3,1d,1
186,EMBR3,convLSTM1D,10.104413112801629,1,3,3,1d,1
187,EMBR3,convLSTM2D,8.366042913543485,0,3,3,1d,1
188,ENAT3,LSTM,13.422182140435208,0,3,3,1d,1
189,ENAT3,BidirectionalLSTM,17.262846620570983,1,3,3,1d,1
190,ENAT3,convLSTM1D,6.753623627059863,2,3,3,1d,1
191,ENAT3,convLSTM2D,7.954293719385045,0,3,3,1d,1
192,ENBR3,LSTM,0.0,0,3,3,1d,1
193,ENBR3,BidirectionalLSTM,0.0,0,3,3,1d,1
194,ENBR3,convLSTM1D,1.071075678123452,2,3,3,1d,1
195,ENBR3,convLSTM2D,0.0,0,3,3,1d,1
196,ENGI3,LSTM,0.0,0,3,3,1d,1
197,ENGI3,BidirectionalLSTM,0.0,0,3,3,1d,1
198,ENGI3,convLSTM1D,0.0,0,3,3,1d,1
199,ENGI3,convLSTM2D,0.0,0,3,3,1d,1
200,EVEN3,LSTM,5.280179530382183,2,3,3,1d,1
201,EVEN3,BidirectionalLSTM,0.0,0,3,3,1d,1
202,EVEN3,convLSTM1D,17.906430119817937,2,3,3,1d,1
203,EVEN3,convLSTM2D,0.0,0,3,3,1d,1
