epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0818234533071518,0.0818234533071518,0.044848449528217316,0.044848449528217316
1,0.03446020185947418,0.03446020185947418,0.06055987626314163,0.06055987626314163
2,0.03353666514158249,0.03353666514158249,0.04684869945049286,0.04684869945049286
3,0.02984750084578991,0.02984750084578991,0.048775654286146164,0.048775654286146164
4,0.030557455494999886,0.030557455494999886,0.05237631872296333,0.05237631872296333
5,0.02782394364476204,0.02782394364476204,0.06875301897525787,0.06875301897525787
6,0.029674939811229706,0.029674939811229706,0.08152040094137192,0.08152040094137192
7,0.029485952109098434,0.029485952109098434,0.04096965119242668,0.04096965119242668
8,0.028952404856681824,0.028952404856681824,0.0630563348531723,0.0630563348531723
9,0.029233090579509735,0.029233090579509735,0.06381663680076599,0.06381663680076599
10,0.027752358466386795,0.027752358466386795,0.0434882789850235,0.0434882789850235
11,0.02631661482155323,0.02631661482155323,0.052291642874479294,0.052291642874479294
12,0.025706637650728226,0.025706637650728226,0.07751046866178513,0.07751046866178513
13,0.025243816897273064,0.025243816897273064,0.05487435311079025,0.05487435311079025
14,0.025980297476053238,0.025980297476053238,0.04854382574558258,0.04854382574558258
15,0.026974370703101158,0.026974370703101158,0.04286731779575348,0.04286731779575348
16,0.025066250935196877,0.025066250935196877,0.050539128482341766,0.050539128482341766
17,0.024181099608540535,0.024181099608540535,0.07124984264373779,0.07124984264373779
18,0.02499135211110115,0.02499135211110115,0.07625461369752884,0.07625461369752884
19,0.02589690499007702,0.02589690499007702,0.05546276271343231,0.05546276271343231
20,0.030979424715042114,0.030979424715042114,0.08329328149557114,0.08329328149557114
21,0.025122493505477905,0.025122493505477905,0.06026620790362358,0.06026620790362358
22,0.024684611707925797,0.024684611707925797,0.04854017123579979,0.04854017123579979
23,0.024667618796229362,0.024667618796229362,0.04631693661212921,0.04631693661212921
24,0.026499096304178238,0.026499096304178238,0.06537213921546936,0.06537213921546936
25,0.02282814309000969,0.02282814309000969,0.04987489432096481,0.04987489432096481
26,0.024150656536221504,0.024150656536221504,0.046853091567754745,0.046853091567754745
27,0.02713264897465706,0.02713264897465706,0.06550208479166031,0.06550208479166031
28,0.02451239340007305,0.02451239340007305,0.08167313039302826,0.08167313039302826
29,0.024163389578461647,0.024163389578461647,0.08214918524026871,0.08214918524026871
30,0.02275255136191845,0.02275255136191845,0.0425884984433651,0.0425884984433651
31,0.024056021124124527,0.024056021124124527,0.04751204326748848,0.04751204326748848
32,0.02338293008506298,0.02338293008506298,0.06254548579454422,0.06254548579454422
0,0.28314390778541565,0.28314390778541565,0.4421745836734772,0.4421745836734772
1,0.1493484228849411,0.1493484228849411,0.06760534644126892,0.06760534644126892
2,0.09684047102928162,0.09684047102928162,0.1333286017179489,0.1333286017179489
3,0.0586557611823082,0.0586557611823082,0.059430964291095734,0.059430964291095734
4,0.04082510620355606,0.04082510620355606,0.06711612641811371,0.06711612641811371
5,0.037615153938531876,0.037615153938531876,0.05925586447119713,0.05925586447119713
6,0.036340177059173584,0.036340177059173584,0.06155786290764809,0.06155786290764809
7,0.03239578381180763,0.03239578381180763,0.06140126287937164,0.06140126287937164
8,0.02966669760644436,0.02966669760644436,0.05678258091211319,0.05678258091211319
9,0.02850336767733097,0.02850336767733097,0.06025586277246475,0.06025586277246475
10,0.027559665963053703,0.027559665963053703,0.07410912960767746,0.07410912960767746
