Date,High,Low,Open,Close,Volume,Adj Close
2017-12-18,41.9900016784668,41.209999084472656,41.29999923706055,41.209999084472656,8300.0,32.370445251464844
2017-12-19,41.560001373291016,40.939998626708984,41.34000015258789,41.560001373291016,17400.0,32.645362854003906
2017-12-20,41.88999938964844,41.279998779296875,41.790000915527344,41.7599983215332,25200.0,32.80247497558594
2017-12-21,41.88999938964844,40.02000045776367,41.2400016784668,41.45000076293945,147400.0,32.558963775634766
2017-12-22,41.97999954223633,41.439998626708984,41.970001220703125,41.97999954223633,7400.0,32.975276947021484
2017-12-25,41.97999954223633,41.97999954223633,41.97999954223633,41.97999954223633,0.0,32.975276947021484
2017-12-26,42.7400016784668,41.70000076293945,41.9900016784668,42.599998474121094,13800.0,33.462284088134766
2017-12-27,41.599998474121094,40.900001525878906,41.599998474121094,41.0099983215332,38900.0,32.849998474121094
2017-12-28,41.47999954223633,40.79999923706055,41.099998474121094,41.20000076293945,75600.0,33.002201080322266
2017-12-29,41.20000076293945,41.20000076293945,41.20000076293945,41.20000076293945,0.0,33.002201080322266
2018-01-02,41.54999923706055,40.90999984741211,41.54999923706055,41.400001525878906,6400.0,33.16240310668945
2018-01-03,41.439998626708984,40.20000076293945,41.439998626708984,40.20000076293945,29900.0,32.201171875
2018-01-04,40.900001525878906,40.130001068115234,40.310001373291016,40.63999938964844,21000.0,32.553619384765625
2018-01-05,40.88999938964844,40.400001525878906,40.400001525878906,40.7400016784668,4400.0,32.633724212646484
2018-01-08,41.20000076293945,40.25,40.25,41.16999816894531,6800.0,32.97816848754883
2018-01-09,41.290000915527344,40.13999938964844,40.72999954223633,41.060001373291016,13500.0,32.89004898071289
2018-01-10,40.790000915527344,40.310001373291016,40.66999816894531,40.540000915527344,9600.0,32.47352600097656
2018-01-11,42.16999816894531,40.209999084472656,40.220001220703125,42.16999816894531,2600.0,33.779197692871094
2018-01-12,41.810001373291016,41.20000076293945,41.54999923706055,41.790000915527344,5800.0,33.47480010986328
2018-01-15,41.790000915527344,41.5,41.790000915527344,41.5,3500.0,33.24250411987305
2018-01-16,42.459999084472656,41.5,41.5,42.150001525878906,9100.0,33.76316833496094
2018-01-17,42.709999084472656,41.79999923706055,42.09000015258789,42.41999816894531,11500.0,33.97944641113281
