codigo,sector,acao,tipo,qtde.teorica,Part.Porcentage.2
SMTO3,,,,,
SQIA3,,,,,
STBP3,,,,,
SULA3,SULA3,SUL AMERICA,UNT N2,278.742.752,858
SUZB3,SUZB3,SUZANO S.A.,ON NM,725.859.318,1967
TASA3,,,,,
TCSA3,,,,,
TGMA3,,,,,
TAEE3,TAEE11,TAESA,UNT N2,218.568.274,413
TIMS3,TIMP3,TIM PART S/A,ON NM,807.711.660,709
TOTS3,TOTS3,TOTVS,ON EDB NM,403.397.655,547
TRIS3,,,,, 
TUPY3,,,,,
UGPA3,UGPA3,ULTRAPAR,ON NM,1.086.422.872,1083
UNIP6,,,,,
USIM5,USIM5,USIMINAS,PNA ED N1,513.781.576,170
VALE3,VALE3,VALE,ON NM,3.292.010.807,10155
VIVT3,VIVT4,TELEF BRASIL,PN,415.131.868,1303
VLID3,,,,,
VULC3,,,,,
VVAR3,VVAR3,VIAVAREJO,ON NM,1.146.662.628,724
WEGE3,WEGE3,WEG,ON NM,689.271.972,1893 
WIZS3,,,,,
YDUQ3,YDUQ3,YDUQS PART,ON ED NM,299.667.897,625
