Petróleo, Gás e Biocombustíveis;PETR4;PETROBRAS;PN N2;4.520.185.835;5780;
Petróleo, Gás e Biocombustíveis;BRDT3;PETROBRAS BR;ON NM;728.125.000;1020;
Petróleo, Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON NM;1.086.422.872;1191;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON NM;407.518.048;775;2260
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON NM;207.425.426;1485;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON NM;305.126.422;449;3352
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON NM;217.060.254;758;
Saúde/SM Hosp An.Diag;GNDI3;INTERMEDICA;ON NM;458.380.483;1726;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON NM;281.558.308;419;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON NM;403.397.655;541;541
Telecomunicação;VIVT4;TELEF BRASIL;PN;415.131.868;1317;2026
Telecomunicação;TIMP3;TIM PART S/A;ON NM;807.711.660;709;
Telecomunicação;SBSP3;SABESP;ON NM;339.982.576;960;960
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN N1;966.005.862;595;5222
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON NM;170.209.781;338;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON N1;358.028.908;563;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB N1;240.022.548;423;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON NM;295.402.225;322;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT N2;250.709.436;716;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON NM;254.813.401;677;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON NM;1.010.186.085;1181;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT EDJ N2;218.568.274;407;
